sample,count
1,10
10,7
100,416
101,25
102_S6,50
104,4
105,11
106,62
107,49
108_S92,33
110_S69,385
111,18
112,7
113,141
114,97
115,357
117,60
118,9
119,40
12,237
120,8
121,13
122,600
123,11
124,86
126_S68,21
127_S74,11
129,513
13,17
130,347
131,1382
132,3338
133,597
134,336
135,469
136,144
137_S65,7
138,106
138_S179,62
139_S64,391
140_S8,161
142,58
143,40
144_S61,79
145_S88,45
147,29
148,38
149,69
150,21
151_S4,10
152_S84,4
154,22
155_S71,19
157,22
158,1
159,371
160,288
161,10
162_S73,36
163,286
164,426
165,92
166,1
167,78
168,209
169,35
17,11
170,189
171_S94,58
172,29
173,38
174,658
175,103
176_S5,82
177,105
178,279
179,9
18,66
180,15
181_S81,16
182_S79,144
183,414
184_S62,14
186,80
187,478
188,5
189_S63,1
19,23
190,206
191,10
192,104
194_S82,261
197_S60,24
198,11
199,49
2,77
20,64
200_S77,7
201_S86,913
202_S91,92
203_S93,9245
204,47
205,28
206_S80,7
207,26
208,103
209,4213
21,919
210,16
211_S96,103
213,296
214_S83,169
216,20
217,23
219,4
22,345
220,144
221_S76,100
222,7
223_S67,13
224,25
225,15
226,1
23_S66,9
24,758
25,119
26,80
27,32
28_S95,4312
29,38
3,248
30_S97,34
31,31
32,89
33_S70,3
34,184
35,192
36,43
38,17
39,72
40,294
41_S72,63
42_S78,566
44,3
46,240
48,13
49,2125
5,409
50,935
51,494
52,1240
53,51
54,26
55,33
56,85
57,27
58,67
59,95
5_S178,33
60,18
61,2577
62,366
63,462
64,36
65,861
66,2
67,34
68,5
69,19
70,160
71_S85,125
74_S99,112
76,24
77,298
78,59
79_S9,93
8,15
80,223
81,1075
82,80
86,1
87,812
88,279
89_S98,124
9,17
90,391
91_S90,56
92,1091
93,157
94,184
95,808
96_S75,9
97,30
98,8
99_S89,198
