#SampleID	coralID	acclimation	genotype	cerID
100S46	2BY3	4	BY	100
100S86	2BY3	4	BY	100
101S28	0BY3	3	BY	101
101S68	0BY3	3	BY	101
102S46	0JQ3	3	JQ	102
102S6	0JQ3	3	JQ	102
104S135	0IR4	3	IR	104
104S175	0IR4	3	IR	104
105S25	9JQ52	5	JQ	105
105S65	9JQ52	5	JQ	105
106S176	8JQ25	1	JQ	106
106S216	8JQ25	1	JQ	106
107S140	9JQ42	5	JQ	107
107S180	9JQ42	5	JQ	107
108S132	8BY25	1	BY	108
108S92	8BY25	1	BY	108
10S21	8BY23	1	BY	10
10S61	8BY23	1	BY	10
110S109	2BY6	2	BY	110
110S69	2BY6	2	BY	110
111S23	8DW22	1	DW	111
111S63	8DW22	1	DW	111
112S15	9HS44	5	HS	112
112S55	9HS44	5	HS	112
113S116	0HS3	3	HS	113
113S156	0HS3	3	HS	113
114S42	8HS25	1	HS	114
114S82	8HS25	1	HS	114
115S169	2HS8	2	HS	115
115S209	2HS8	2	HS	115
117S29	2JQ7	2	JQ	117
117S69	2JQ7	2	JQ	117
118S30	2HS7	2	HS	118
118S70	2HS7	2	HS	118
119S128	9IR44	5	IR	119
119S168	9IR44	5	IR	119
120S120	9BY21	5	BY	120
120S160	9BY21	5	BY	120
121S139	2GT40	4	GT	121
121S179	2GT40	4	GT	121
122S133	6HS17	1	HS	122
122S173	6HS17	1	HS	122
123S137	9HS14	5	HS	123
123S177	9HS14	5	HS	123
124S31	0CX2	3	CX	124
124S71	0CX2	3	CX	124
126S108	2HS2	4	HS	126
126S68	2HS2	4	HS	126
127S114	0GT47	3	GT	127
127S74	0GT47	3	GT	127
129AND215S195	2HS1	4	HS	129AND215
129AND215S235	2HS1	4	HS	129AND215
12S119	8BY22	1	BY	12
12S159	8BY22	1	BY	12
130S102	2JQ42	4	JQ	130
130S142	2JQ42	4	JQ	130
131S11	9IR36	5	IR	131
131S51	9IR36	5	IR	131
132S26	9DW38	5	DW	132
132S66	9DW38	5	DW	132
133S145	8CX24	1	CX	133
133S185	8CX24	1	CX	133
134S131	8FU23	1	FU	134
134S171	8FU23	1	FU	134
135S56	8GT23	1	GT	135
135S96	8GT23	1	GT	135
136S34	0AZ9	3	AZ	136
136S74	0AZ9	3	AZ	136
137S105	2DW9	2	DW	137
137S65	2DW9	2	DW	137
138S166	9AZ7	5	AZ	138
