metabolite	0AZ9	0BY1	0BY46	0BY49	0BY50	0CX1	0CX2	0CX47	0CX48	0DW3	9DW38	0DW47	0DW49	0DW50	0EV2	0EV4	0EV48	0EV5	0EV50	0FU2	0GT2	0GT47	0GT48	0GT49	0GT50	0HS3	0HS4	0HS49	0IR3	9IR36	9IR4	0IR4	0IR46	0IR47	0IR49	0JQ1	0JQ2	0JQ3	0JQ46	0JQ5	1AZ1	1AZ3	1AZ4	1HS39	1HS42	1JQ42	2AZ1	2AZ10	2AZ20	2AZ70	2AZ9	2BY5_1	2BY10	4BY12	2BY3	2BY5	2BY6	2BY9	2CX14	2CX15	2CX17	2CX19	2CX21	2CX7	2DW10	2DW36	2DW37	2DW42	2DW43	2DW9	2EV32	2EV37	2EV42	2EV57	2EV7	2EV8	2EV9	2FU1	2FU10	2FU2	2FU34	2FU39	2FU45	2GT1	2GT29	2GT32	2GT40	2GT45	2GT8	2GT9	2HS1	2HS10	2HS12	2HS2	2HS6	2HS7	2HS8	2IR32	2IR33	2IR45	2IR5	2IR6	2IR8	2JQ28	2JQ3	2JQ33	2JQ37	2JQ42	2JQ9	3AZ5	3FU2	4BY11	4CX13	4CX14	4DW12	4DW13	4EV12	4EV13	4FU11	4FU13	4FU14	4GT11	4GT12	4GT14	4HS11	4IR11	4IR13	4IR14	4JQ11	4JQ13	4CX15	6CX17	6CX20	6DW16	6DW17	6DW18	6DW20	6EV17	6FU17	6FU18	6GT18	6HS16	6HS17	6HS18	6HS20	6IR17	6JQ19	8BY22	8BY23	8BY25	8CX22	8CX23	8CX24	8DW22	8EV21	8EV22	8EV23	8EV25	8FU21	8FU23	8GT22	8GT23	8GT24	8GT25	8HS25	8IR21	8IR22	8IR25	8JQ22	8JQ24	8JQ25	9AZ1	9AZ7	9AZ8	9BY21	9BY24	9BY28	9BY35	9BY40	9CX1	9CX4	9CX7	9CX8	9CX9	9DW33	9DW36	9DW371	9DW4	9FU26	9FU29	9FU6	9FU7	9GT28	9GT33	9HS44	9HS50	9HS51	9IR21	9IR3	9JQ38	9JQ39	9JQ43	9JQ52	FU3	FU4	FU6
unclassified	6.907755279	6.907755279	6.907755279	14.04392685	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.66185416	6.907755279	6.907755279	6.907755279	15.51565947	6.907755279	6.907755279	6.907755279	6.907755279	15.27919833	6.907755279	6.907755279	6.907755279	14.57570825	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.51794491	6.907755279	6.907755279	15.40636934	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.62590403	14.98631514	15.57981707	6.907755279	6.907755279	6.907755279	14.32316019	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.96095795	6.907755279	14.42406372	14.54767172	6.907755279	6.907755279	14.30560604	6.907755279	6.907755279	15.03398511	6.907755279	6.907755279	6.907755279	14.42004954	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.15367442	6.907755279	6.907755279	14.58156181	14.97268964	16.14810028	15.05418743	6.907755279	14.59262955	14.50725851	6.907755279	6.907755279	6.907755279	6.907755279	14.52272172	6.907755279	15.28645697	6.907755279	6.907755279	14.48790579	6.907755279	14.40510176	15.05865741	6.907755279	6.907755279	6.907755279	14.70532413	6.907755279	14.86351916	15.87885645	6.907755279	6.907755279	6.907755279	14.50226261	6.907755279	6.907755279	6.907755279	6.907755279	14.6870158	6.907755279	6.907755279	6.907755279	14.33756933	6.907755279	6.907755279	6.907755279	14.41551739	6.907755279	6.907755279	6.907755279	14.42201184	6.907755279	14.54069195	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.61128442	6.907755279	14.3768686	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.31262154	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.89957192	6.907755279	14.41777254	6.907755279	14.84961766	14.563779	15.31727877	6.907755279	6.907755279	15.38744953	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.4591767
unclassified	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.62178933	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.29431334	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.51067	6.907755279	13.48854426	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.7051335	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.35306321	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.26741608	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.47177956	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.50013044	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	11.59404092	6.907755279	6.907755279	12.85566485	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279
unclassified	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.13059361	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.74688536	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.63243529	6.907755279	6.907755279	14.41954639	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.12995666	6.907755279	14.36945202	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.49560467	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.25126348	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.90341995	13.43254729	13.70388281	6.907755279	6.907755279	14.25291367	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.46072216	6.907755279	6.907755279	13.10515192	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.62218629	6.907755279	13.58614609	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.62752944	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.31935468	6.907755279	6.907755279	6.907755279	6.907755279	13.18170068	13.3652163	6.907755279	6.907755279	14.04022353	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.24607915
Organonitrogen compounds	16.85074561	17.09238031	16.90671786	16.93906369	16.92965399	16.9540848	17.02200911	17.1262592	16.98140015	16.73066215	16.9151353	16.92850434	16.83702254	16.8897924	17.0031836	16.93690999	16.61197085	16.7558952	16.61795201	16.67959194	17.00322256	16.86521381	16.72018412	16.70826539	16.99220781	16.86386247	16.76772215	16.66588411	16.9269795	16.8180377	16.94428251	16.88792719	16.65286894	17.16043072	16.92099644	16.96549241	16.97940281	16.81176075	16.9013868	16.9133831	16.94534186	17.01363955	16.67327786	16.89740197	16.67614486	16.91520443	16.97788569	17.02853977	16.74926777	16.95743837	16.75055579	16.66249136	17.12694892	17.04231739	16.77215333	16.86237	16.81034817	16.98997889	16.8644798	16.54598277	16.77794155	16.91637161	16.77043922	16.92076791	16.84539382	16.77418643	16.94108771	16.94003006	16.91049593	16.89676257	16.65411439	16.84005195	16.70048292	17.05289745	16.72435869	16.71071415	16.65897982	17.0527178	16.97683186	16.89051134	17.02440388	16.96829042	16.89201021	16.8039591	17.10345726	16.73762839	17.11606409	17.08097819	16.70646748	16.78632669	16.78563999	16.99455852	16.95937303	16.71419128	17.00186126	16.89785913	17.0098663	17.01615022	17.1046379	16.90888196	16.89287814	17.03277429	17.01501222	16.97554389	16.86080927	16.95861195	16.78677782	16.85845214	16.86058158	16.77560664	16.80156626	17.04281303	16.73349159	16.73097899	16.87444989	16.9070544	16.75657555	16.72725075	16.93422952	17.00465335	16.74630932	16.99140705	16.91309104	17.01840847	16.92477376	17.01906083	16.69552534	16.95951713	16.82444999	16.94028303	16.72465044	17.04299799	16.72756591	16.73473376	16.92173673	16.63877376	17.01469919	16.80301596	16.68052267	16.78849779	16.74660224	16.73711197	16.71637622	16.79999058	16.72349223	16.64103269	17.03286068	16.66879867	16.73017139	17.08744159	17.03899087	16.7687839	16.96115918	16.72439901	16.68666687	16.70487447	16.82539336	16.70352156	16.79191972	16.74972361	16.75975145	16.75716728	16.96809935	16.66291782	16.78958627	16.69819943	16.7113755	16.7678338	17.00729047	16.67537712	17.00303415	16.83338268	17.01313097	16.84025813	16.90652115	16.88511158	16.91923655	17.00610337	16.9860103	17.00066407	16.98454452	16.89495485	16.90254073	16.74973614	16.95268989	16.75585672	16.65188588	16.79632366	17.01704372	16.7255806	16.93105119	16.95277051	17.01622292	16.78878083	17.05927593	16.68627767	16.97310093	16.88152236	16.95847785	16.76098707	16.63515413	16.93056198	16.58374311	17.07134034	16.83780089	16.9729846
Organooxygen compounds	6.907755279	6.907755279	14.31266034	16.02305897	6.907755279	14.51741686	14.55857335	6.907755279	6.907755279	6.907755279	16.3899809	6.907755279	15.20423171	6.907755279	15.35413987	6.907755279	14.6938647	6.907755279	14.0145456	16.02146124	14.90344897	6.907755279	6.907755279	17.02395753	6.907755279	15.72749116	6.907755279	14.55485292	6.907755279	6.907755279	6.907755279	14.44679626	6.907755279	6.907755279	6.907755279	16.26133154	15.61392673	6.907755279	17.47753068	15.53540858	14.19046509	6.907755279	6.907755279	15.92711879	6.907755279	6.907755279	15.21540485	16.60060438	17.21899237	17.16548779	6.907755279	6.907755279	6.907755279	15.18054535	14.90858682	14.70559448	6.907755279	6.907755279	6.907755279	16.82800748	15.2787774	15.64265672	16.09623057	15.99566986	14.29011689	15.86626887	6.907755279	6.907755279	16.7138342	14.84682117	6.907755279	6.907755279	15.27737266	6.907755279	15.6980493	6.907755279	15.20763761	16.08405212	15.61804349	16.26040586	6.907755279	15.3023426	16.26664596	17.9453525	16.96138718	14.38457903	6.907755279	17.05400317	6.907755279	14.59073058	15.64774486	6.907755279	14.83772793	15.0318221	16.27213575	14.00613984	6.907755279	14.81440052	14.88411435	14.65943075	16.27404554	6.907755279	6.907755279	6.907755279	16.79809843	14.63568877	16.96689662	17.52209012	15.1285373	15.8189501	15.5539881	15.66804291	6.907755279	14.5503815	14.51285216	15.35901045	17.18048244	15.83594436	14.31566261	14.67143951	16.53895607	6.907755279	14.05611397	6.907755279	15.73507712	6.907755279	15.09724522	6.907755279	17.36300881	15.56758349	16.5584413	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.53494297	16.75883377	6.907755279	15.19400897	6.907755279	14.34211253	6.907755279	14.51087881	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.57556578	6.907755279	6.907755279	6.907755279	6.907755279	14.91971413	6.907755279	15.14327552	15.83720732	14.12318534	6.907755279	6.907755279	6.907755279	14.40056281	6.907755279	14.08369219	15.5162515	6.907755279	6.907755279	14.72063487	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.72547427	14.38554217	16.12581414	6.907755279	15.57429101	14.52534727	16.30519922	15.72269011	16.2972941	6.907755279	15.28607927	16.03147301	6.907755279	6.907755279	6.907755279	6.907755279	14.8367057	14.37905687	14.5859108	15.02415246	14.01734259	14.13526483	6.907755279	6.907755279	14.25456766	6.907755279	15.97714871
unclassified	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.30134951	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.17799657	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	11.60771294	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.24228899	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279
Fatty Acyls	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.9897389	14.04524744	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.08200591	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.05854847	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.07658045	6.907755279	6.907755279	6.907755279	6.907755279	14.13272396	14.02809664	13.99855585	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.00395396	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.93793395	6.907755279	6.907755279	6.907755279	13.9660873	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.0495007	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.04100833	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.03370965	6.907755279
unclassified	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.52171676	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.10768918	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.96298015	6.907755279	6.907755279	15.53385172	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.60209107	6.907755279	15.68060157	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.9769411	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.53118029	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.28651928	14.75706924	14.98547899	6.907755279	6.907755279	15.47175935	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.86669372	6.907755279	6.907755279	14.50842068	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.89187381	6.907755279	14.94590009	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.06742704	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.80014696	6.907755279	6.907755279	6.907755279	6.907755279	14.68260575	14.80036569	6.907755279	6.907755279	15.52289064	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.78324124
Carboxylic acids and derivatives	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.62098082	6.907755279	6.907755279	6.907755279	15.10290692	6.907755279	6.907755279	6.907755279	6.907755279	15.51722346	6.907755279	6.907755279	6.907755279	14.15621148	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.84997183	6.907755279	6.907755279	16.82839867	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.06495158	15.39868496	16.80637132	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.80311867	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.63507859	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.38727635	17.3304717	15.33919986	6.907755279	6.907755279	14.65894048	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.04792566	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.36859407	6.907755279	6.907755279	6.907755279	15.5240842	6.907755279	15.79595814	16.17429334	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.70131282	6.907755279	14.9208021	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.74649537	6.907755279	6.907755279	6.907755279	14.4979594	6.907755279	15.05705604	6.907755279	6.907755279	14.79935704	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.12613276
unclassified	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.72733487	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.32581352	6.907755279	15.39595659	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.97408517	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.19839254	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	15.6561625	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.66631919	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.01721233	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.43810951	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.66126207	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	12.83388169	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	14.13940847	6.907755279	6.907755279	6.907755279	6.907755279	13.50014267	6.907755279	6.907755279	6.907755279	14.16199192	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	6.907755279	13.91936954
