microbe	100S46	101S28	102S6	104S135	105S25	106S176	107S140	108S92	10S21	110S69	111S23	112S15	113S116	114S42	115S169	117S29	118S30	119S128	120S120	122S133	123S137	124S31	126S68	127S74	129AND215S195	12S119	130S102	131S11	132S26	133S145	134S131	135S56	136S34	137S65	138S166	138S179	139S64	13S168	140S8	142S45	143S41	144S61	145S88	147S159	148S111	149S38	14S87	150S165	151S4	153S7	154S17	155S71	157S57	158S114	159S101	15S110	160S130	161S16	162S73	163S132	164S124	165S39	167S149	168S24	169S129	170S109	171S94	172S160	173S167	174S134	175S158	176S5	177S32	178S107	17S44	180S12	181S81	182S79	183S154	184S62	186S136	188S162	189S63	18S52	190S115	191S123	192S36	194S82	197S60	198S156	199S153	19S185	1S173	200S77	201S86	202S91	203S93	204S144	205S187	206S80	207S27	208S2	209S146	20S193	210S3	211S96	213AND16S198	214S83	216S177	217S1	219S14	21S117	220S161	221S76	222S163	223S67	224S59	225S143	226S105	22S125	24S54	25S155	26S43	27S22	28S95	29S20	2S50	30S97	31S127	32S106	33S70	34S33	35S112	36S186	38S189	39S49	3S183	40S13	41S72	42S78	44S180	46S103	48S47	49S150	50S10	51S55	52S175	53S126	54S190	55S48	56S148	57S181	58S157	59S121	5S170	5S178	60S191	61S138	62S118	63S58	64S172	65S147	66S40	67S18	68S51	69S182	70S192	71S85	74S99	76AND7S197	77S113	78S19	79S9	80S164	81S122	82S104	86S174	87S152	88S151	89S98	8S194	90S171	91S90	92S188	93S108	94S100	95S142	96S75	97S53	98S141	99S89	9S184
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Acrophormium_PCC-7375;__	167	1772	2147	0	0	127	94	0	43	331	1737	127	92	0	214	62	118	15	120	0	209	420	733	205	101	0	189	0	22	0	0	53	432	20	250	49	43	16	436	0	80	2215	110	330	42	197	449	45	0	98	759	0	0	91	26	93	51	23	67	64	0	175	505	1596	68	14	0	88	335	0	42	671	554	91	102	226	303	40	142	379	130	593	0	908	54	69	639	0	0	148	52	1034	168	1737	0	60	87	114	2201	312	0	177	177	59	81	57	5335	17	0	175	182	26	77	808	1835	292	35	134	0	0	942	251	12	30	421	23	31	222	0	4	403	0	0	5091	11887	1780	1562	198	6817	240	795	34	0	96	415	466	0	0	2427	0	47	4928	0	46	115	110	20190	0	766	0	0	0	0	25	60	1877	1576	83	0	16	37	0	0	36	138	79	95	10	66	100	107	1438	0	536	214	0	17	24	777	0	4	167
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured;s__hydrothermal_vent	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	11	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	62	18	0	6	59	0	0	0	0	0	0	15	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;__;__	1543	938	3192	1278	813	4417	1132	1606	6	3056	18033	1638	1553	3810	892	1520	993	1865	569	3282	3330	4016	1526	1115	6388	1496	1488	1827	2583	2169	3607	1046	3362	42	1035	4232	1515	7090	2175	90	730	6259	3665	4703	778	1373	3819	6642	13	111	5165	17	12	1284	631	2326	2054	34	3935	3292	876	930	2432	2277	2599	5150	1627	1193	15562	446	3667	420	7446	618	2655	2165	3670	2303	399	1485	4803	1629	119	1612	3462	1209	2242	894	68	4301	1898	7446	2849	44	5327	2065	3191	3850	528	1522	53	937	5212	10040	774	2843	12088	4596	2736	311	2934	5014	4820	647	2990	4057	46	2531	739	5437	731	2306	34	6	2233	737	1920	800	601	491	887	211	701	5545	899	4546	4638	390	13904	2312	802	3922	5	3899	8576	26799	6490	391	9751	84	621	3616	1329	2296	6024	3734	1747	515	2422	511	31	956	244	2652	392	1059	1459	2882	209	142	2779	68	106	2264	1685	1377	1289	4233	2879	874	1028	7131	1232	6541	2473	1017	3058	23	1418	2657	1166	1002
d__Bacteria;p__Myxococcota;c__Polyangia;__;__;__;__	0	0	5	5	0	11	0	0	0	19	0	0	0	0	19	8	0	17	0	22	0	13	7	0	6	11	46	0	0	36	13	0	0	0	0	0	0	269	0	0	0	141	0	30	0	0	0	0	0	0	0	0	0	0	0	6	29	0	9	4	0	0	0	19	0	5	0	0	1663	0	15	0	132	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	10	0	50	0	0	49	0	0	0	0	0	0	0	9	427	78	0	0	0	0	80	0	0	52	0	0	0	0	0	5	0	0	0	0	32	0	0	0	0	0	0	9	0	8	0	20	0	25	0	0	0	0	18	8	0	0	38	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	49	0	60	27	0	0	0	0	0	0	15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;__;__	335	247	523	163	72	277	152	171	1	633	727	425	216	474	211	457	321	34	76	283	140	941	707	280	541	300	116	27	145	270	266	263	797	17	116	97	137	2172	585	0	218	3155	300	227	298	326	513	1502	0	0	1756	0	33	156	2	343	178	2	700	224	162	278	511	542	355	238	436	226	3321	13	278	82	697	285	361	622	628	293	80	140	115	71	21	1647	232	82	372	61	0	573	257	256	436	18	607	103	424	466	899	280	15	140	800	0	207	287	2597	631	611	113	35	527	138	170	356	1421	25	274	85	215	840	324	30	17	246	21	139	422	159	10	225	26	0	1675	891	957	383	339	4321	222	247	63	8	402	531	2170	48	72	1550	0	12	469	94	238	370	202	1402	737	1028	67	20	67	7	237	25	170	262	188	0	17	430	78	16	263	106	129	472	79	377	84	256	1227	14	815	201	15	368	35	489	339	183	93
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;__;__;__	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	20	10	0	0	0	0	19	0	0	0	0	0	0	0	0	61	0	7	0	86	44	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	323	0	0	0	0	161	0	0	0	0	0	112	0	0	0	174	16	0	0	66	0	0	0	0	25	0	32	4	0	3482	0	0	0	0	0	0	0	0	0	0	14	0	92	0	0	73	0	24	0	0	0	0	0	0	245	0	0	91	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;s__[Pseudomonas]_geniculata	5	160	570	11	112	116	82	170	0	153	466	0	79	143	18	58	13	19	23	0	444	422	157	45	561	119	106	0	0	146	72	190	1301	0	313	116	69	97	648	0	31	715	72	21	24	135	169	1147	0	0	75	0	0	0	63	138	240	0	5	85	37	138	551	302	101	98	97	187	389	9	116	107	568	144	305	311	356	182	178	165	104	534	0	590	263	45	165	20	0	449	78	507	372	83	55	215	211	83	728	8	0	65	316	2091	40	99	1218	107	84	41	284	177	178	128	52	208	0	74	55	130	764	105	3	2	0	5	97	279	59	95	27	2	59	422	221	370	1522	197	2459	348	168	96	0	230	617	1077	473	28	622	0	47	945	11	89	389	247	909	465	397	30	0	22	0	41	19	103	294	228	0	0	305	11	21	43	90	30	112	109	608	168	274	671	0	97	195	0	168	3	564	145	4	156
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia_nematodiphila	0	1936	877	0	81	0	0	0	18	1903	112	688	0	166	0	245	25	0	0	0	0	306	173	435	0	0	0	0	1219	0	0	79	0	42	38	15	269	13380	811	37	167	1340	0	0	0	205	0	574	33	0	2499	26	0	0	24	0	0	61	753	0	0	161	0	498	0	0	0	0	23	0	0	859	576	0	383	675	0	0	0	353	0	0	0	2096	0	34	209	0	35	0	0	71	0	233	0	36	0	34	5477	0	121	0	0	65546	241	0	79	0	0	51	0	0	0	380	0	0	30	0	0	0	19	0	11	26	0	422	365	0	0	0	0	171	0	99	0	1733	0	264	6343	0	0	0	0	0	508	0	0	0	0	43	0	0	0	0	231	0	0	0	0	0	23	0	0	593	0	20	249	0	0	74	0	0	118	0	0	0	0	0	0	0	0	407	0	1272	0	0	0	0	1706	0	0	29
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Candidatus_Thiodiazotropha;__	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;__;__	0	70	0	0	25	8	0	0	0	0	0	0	0	0	0	0	14	12	0	0	21	51	0	0	31	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	62	2	10	0	7	66	0	0	0	112	0	0	0	0	3	0	0	0	0	0	8	0	16	9	0	0	0	0	0	69	0	163	45	0	0	46	0	0	0	8	0	4	0	0	8	0	0	0	54	0	284	0	0	0	0	0	0	0	0	0	0	1	150	0	0	45	58	0	0	0	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	50	0	0	0	0	0	0	0	28	0	0	0	44	0	0	0	0	0	0	0	0	0	0	35	0	0	16	0	0	0	0	5	0	0	0	0	0	35	0	0	0	0	0	0	96	0	0	49
